"distance","spectrumID","i"
0.000426131413603981,"spec-3775-55207-0024.fits",893
0.000845911104293606,"spec-6492-56362-0134.fits",895
0.0014306013067254,"spec-5299-55927-0624.fits",807
0.00279094294138993,"spec-3930-55332-0983.fits",1940
0.00285771433638743,"spec-3700-55542-0362.fits",NA
0.00308510586993088,"spec-3966-55571-0298.fits",900
0.0039821269958053,"spec-4013-55629-0022.fits",1990
0.00427494756348318,"spec-5005-55751-0908.fits",1408
0.00488129024869477,"spec-4216-55477-0320.fits",715
0.00498715003465455,"spec-3871-55307-0654.fits",1169
0.00522735775485472,"spec-3879-55244-0031.fits",2223
0.00605374904524908,"spec-4447-55542-0995.fits",1967
0.00625097587591511,"spec-3833-55290-0163.fits",797
0.00678258148402167,"spec-4262-55482-0290.fits",1483
0.00718818908826202,"spec-5007-55710-0682.fits",1533
0.00798717960774864,"spec-4262-55482-0642.fits",743
0.00867042279585711,"spec-3735-55209-0278.fits",852
0.010187252452088,"spec-3588-55184-0128.fits",1103
0.010611186161365,"spec-4504-55571-0646.fits",1955
0.0110546273487047,"spec-3857-55272-0252.fits",1903
0.01217899825158,"spec-5179-55957-0517.fits",1186
0.0125368723287686,"spec-4227-55481-0022.fits",843
0.0126152606896079,"spec-4304-55506-0463.fits",1093
0.0127648867980614,"spec-4885-55735-0787.fits",1982
0.012831623652228,"spec-4622-55629-0517.fits",2255
0.0128464637621572,"spec-3969-55307-0500.fits",878
0.0128511117825671,"spec-6586-56485-0015.fits",1367
0.0132271293536935,"spec-4004-55321-0488.fits",847
0.0132987499167318,"spec-4069-55365-0517.fits",795
0.0133332675488424,"spec-6311-56447-0015.fits",1678
0.0137277378613582,"spec-4266-55486-0690.fits",1185
0.0139140931060281,"spec-3935-55326-0713.fits",1078
0.0139262482248341,"spec-3700-55542-0511.fits",1961
0.0141232403535139,"spec-4033-55332-0003.fits",1633
0.0143861959955589,"spec-3832-55289-0031.fits",295
0.0145022994592429,"spec-4237-55478-0642.fits",380
0.0146985646229574,"spec-3832-55289-0015.fits",105
0.0148585729451304,"spec-4005-55325-0489.fits",1707
0.0148795718255912,"spec-4447-55542-0701.fits",1613
0.0148870697678286,"spec-3790-55208-0488.fits",1737
0.0150279044211208,"spec-3859-55246-0745.fits",1868
0.0150562556731661,"spec-3790-55208-0045.fits",651
0.0151377573129513,"spec-3790-55208-0489.fits",1741
0.015371373403897,"spec-3792-55212-0489.fits",770
0.0154498889763783,"spec-3609-55201-0488.fits",921
0.0157716866158743,"spec-3775-55207-0488.fits",765
0.0157887686314966,"spec-3689-55180-0608.fits",1955
0.0158638747431997,"spec-3832-55289-0003.fits",1734
0.0159035962171164,"spec-4622-55629-0326.fits",1221
0.0160581049280703,"spec-4452-55536-0326.fits",1607
0.0160714123184018,"spec-4032-55333-0003.fits",1713
0.0160776153244124,"spec-4041-55361-0586.fits",705
0.0160808889288616,"spec-4033-55332-0031.fits",1415
0.0161195628297392,"spec-7184-56629-0774.fits",911
0.0161336121216642,"spec-3775-55207-0489.fits",1705
0.016160888395849,"spec-3953-55322-0814.fits",1339
0.0161812959900721,"spec-5426-55987-0816.fits",815
0.0161962335928043,"spec-4051-55337-0039.fits",1155
0.0162069101395506,"spec-4720-55691-0720.fits",390
0.0162320615259826,"spec-3927-55333-0720.fits",636
0.0162323293673083,"spec-4005-55325-0326.fits",1040
0.0162510790293733,"spec-3736-55214-0326.fits",639
0.0162727359286084,"spec-3876-55245-0489.fits",1509
0.0162763394328469,"spec-4176-55682-0500.fits",1346
0.0162864087016901,"spec-5334-55928-0439.fits",1308
0.0162872353582424,"spec-4472-55893-0508.fits",857
0.0162945358273342,"spec-4024-55646-0326.fits",1611
0.016312749052377,"spec-3878-55361-0719.fits",808
0.0163241831225826,"spec-3779-55222-0478.fits",655
0.0163434034704192,"spec-3948-55331-0560.fits",884
0.0163477776088705,"spec-6605-56565-0189.fits",1598
0.0163486446476616,"spec-3934-55336-0994.fits",897
0.0163505034053943,"spec-4014-55630-0326.fits",1432
0.0163535919149408,"spec-4032-55333-0039.fits",631
0.016357694870765,"spec-3822-55544-0396.fits",911
0.0163742996617392,"spec-4778-55706-0720.fits",914
0.0163810891431417,"spec-4806-55688-0626.fits",1055
0.0163992004780981,"spec-4529-55563-0690.fits",1183
0.0164017774381526,"spec-4753-55674-0392.fits",1857
0.0164025583073628,"spec-4347-55830-0508.fits",949
0.0164092829789979,"spec-4082-55367-0686.fits",1375
0.0164145703559203,"spec-3852-55243-0488.fits",2137
0.0164243082160935,"spec-4495-55566-0650.fits",1611
0.0164279836219988,"spec-3800-55486-0746.fits",802
0.0164341214101928,"spec-4747-55652-0392.fits",1983
0.0164434214887411,"spec-5153-56577-0443.fits",1173
0.0164546389889995,"spec-5299-55927-0508.fits",808
0.0164679497303305,"spec-4237-55478-0655.fits",1024
0.016491608467077,"spec-3816-55272-0750.fits",1037
0.0164943961147022,"spec-5063-55831-0720.fits",797
0.016502104586983,"spec-4502-55569-0720.fits",738
0.0165041744673473,"spec-4259-55501-0508.fits",736
0.0165054590532247,"spec-3811-55538-0646.fits",948
0.0165055646428308,"spec-5128-55912-0517.fits",1043
0.0165114012020831,"spec-4452-55536-0325.fits",1269
0.0165114427398839,"spec-4988-55825-0326.fits",1098
0.0165251238011421,"spec-4400-55509-0720.fits",985
0.0165293653398231,"spec-5397-55944-0624.fits",1090
0.0165366945695533,"spec-5448-56013-0816.fits",1325
0.016539292778217,"spec-6807-56429-0625.fits",884
